CV-structure	X_%PULT_Tk	B_%PULT_Tk	B_%APULT_Tk	C_%PULT_Tk	G_%ULT_Tk	G_%PULT_Tk	G_%APULT_Tk	I_%PULT_Tk	I_%APULT_Tk	N_%PULT_Tk	P_%PULT_Tk	R_%PULT_Tk	S_%PULT_Tk	S_%APULT_Tk	S_%PAPULT_Tk	V_%ULT_Tk	V_%PULT_Tk	V_%APULT_Tk	V_%PAPULT_Tk	X_nPULT_Tk	B_nPULT_Tk	B_nAPULT_Tk	C_nPULT_Tk	G_nULT_Tk	G_nPULT_Tk	G_nAPULT_Tk	I_nPULT_Tk	I_nAPULT_Tk	N_nPULT_Tk	P_nPULT_Tk	R_nPULT_Tk	S_nPULT_Tk	S_nAPULT_Tk	S_nPAPULT_Tk	V_nULT_Tk	V_nPULT_Tk	V_nAPULT_Tk	V_nPAPULT_Tk
CVCVCVVVCCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	0	NA	NA	NA	NA
CVCVV	NA	NA	NA	NA	0	97.2972972972973	2.7027027027027	NA	NA	100	NA	NA	82.0143884892086	17.9856115107914	0	0	100	0	0	NA	NA	NA	NA	0	216	6	NA	NA	9	NA	NA	342	75	0	0	177	0	0
CVCVVCCV	NA	NA	NA	NA	0	100	0	NA	NA	NA	100	NA	100	0	0	0	100	0	0	NA	NA	NA	NA	0	115	0	NA	NA	NA	9	NA	115	0	0	0	58	0	0
CVCVVCCVCCV	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CVCVVCCVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	63.6363636363636	36.3636363636364	0	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	4	0	0	0	6	0
CVCVVCCVCVCCV	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CVCVVCCVCVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	0
CVCVVCCVV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	0	NA	NA	NA	NA
CVCVVCV	NA	NA	NA	NA	0	85.7142857142857	14.2857142857143	NA	NA	NA	NA	NA	85.7487922705314	14.2512077294686	0	0	89.3617021276596	10.6382978723404	0	NA	NA	NA	NA	0	102	17	NA	NA	NA	NA	NA	710	118	0	0	294	35	0
CVCVVCVCCV	NA	NA	NA	NA	0	80	20	NA	NA	NA	NA	NA	100	0	0	0	100	0	0	NA	NA	NA	NA	0	4	1	NA	NA	NA	NA	NA	1	0	0	0	4	0	0
CVCVVCVCCVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	0	0	1	0
CVCVVCVCCVV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	0	NA	NA	NA	NA
CVCVVCVCV	NA	NA	NA	NA	0	65.3846153846154	34.6153846153846	NA	NA	NA	NA	NA	97.3684210526316	2.63157894736842	0	0	52	46.6666666666667	1.33333333333333	NA	NA	NA	NA	0	34	18	NA	NA	NA	NA	NA	37	1	0	0	39	35	1
CVCVVCVCVCCCVCVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	0	0	NA	NA	NA	NA
CVCVVCVCVCCV	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	NA	NA	NA	NA	NA	5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	16	0	0	NA	NA	NA	NA
CVCVVCVCVCV	NA	NA	NA	NA	0	0	100	NA	NA	NA	NA	NA	0	100	0	0	0	100	0	NA	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	0	15	0	0	0	3	0
CVCVVCVCVV	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	2	0	NA	NA	NA	NA	NA	3	0	0	NA	NA	NA	NA
CVCVVCVV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	31	0	0	0	1	0	0
CVCVVCVVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	86	0	0	0	2	0	0
CVCVVV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13	0	0	0	2	0	0
CVCVVVCCVCV	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CVCVVVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	0	0	0	1	0	0
CVCVVVCVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	6	0
CVV	NA	100	0	100	0	100	0	100	0	100	100	NA	100	0	0	0	100	0	0	NA	1669	0	94	0	4619	0	93	0	1952	2	NA	1046	0	0	0	1896	0	0
CVVCC	NA	NA	NA	NA	0	100	0	100	0	NA	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	20	0	NA	NA	NA	3	0	0	NA	NA	NA	NA
CVVCCCV	NA	100	0	NA	0	100	0	NA	NA	NA	NA	NA	100	0	0	0	100	0	0	NA	75	0	NA	0	669	0	NA	NA	NA	NA	NA	213	0	0	0	11	0	0
CVVCCCVCCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	3	0	0
CVVCCCVCCVCV	NA	NA	NA	NA	0	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CVVCCCVCCVVCCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2	0	0
CVVCCCVCCVVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2	0	0
CVVCCCVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	0	80	20	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	0	0	0	12	3	0
CVVCCCVCVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	0
CVVCCCVCVV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	0	0	0	1	0	0
CVVCCCVV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	0
CVVCCV	NA	100	0	100	0	100	0	NA	NA	100	100	NA	100	0	0	0	100	0	0	NA	1259	0	1126	0	824	0	NA	NA	3178	109	NA	1820	0	0	0	476	0	0
CVVCCVCCCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	0
CVVCCVCCV	NA	100	0	NA	0	100	0	NA	NA	NA	NA	NA	100	0	0	0	100	0	0	NA	92	0	NA	0	6	0	NA	NA	NA	NA	NA	83	0	0	0	84	0	0
CVVCCVCCVCCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	66.6666666666667	33.3333333333333	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2	1	0
CVVCCVCCVCCVCCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	0
CVVCCVCCVCCVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	0
CVVCCVCCVCV	NA	NA	NA	NA	0	18.1818181818182	81.8181818181818	NA	NA	NA	NA	NA	88.8888888888889	11.1111111111111	0	0	13.3333333333333	86.6666666666667	0	NA	NA	NA	NA	0	2	9	NA	NA	NA	NA	NA	16	2	0	0	2	13	0
CVVCCVCCVCVCCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	0
CVVCCVCCVV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	0	0	NA	NA	NA	NA
CVVCCVCCVVCCV	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	7	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CVVCCVCV	NA	NA	NA	NA	0	75.5813953488372	24.4186046511628	0	100	100	NA	NA	95.7547169811321	4.24528301886792	0	0	79.6296296296296	20.3703703703704	0	NA	NA	NA	NA	0	65	21	0	1	499	NA	NA	406	18	0	0	473	121	0
CVVCCVCVCCV	NA	100	0	NA	0	0	100	NA	NA	NA	NA	NA	100	0	0	0	100	0	0	NA	5	0	NA	0	0	9	NA	NA	NA	NA	NA	36	0	0	0	13	0	0
CVVCCVCVCCVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	0	0	0	3	0
CVVCCVCVCCVV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	0	0	NA	NA	NA	NA
CVVCCVCVCV	NA	NA	NA	NA	0	40.7407407407407	59.2592592592593	NA	NA	NA	NA	NA	89.7849462365591	10.2150537634409	0	0	27.0588235294118	69.4117647058823	3.52941176470588	NA	NA	NA	NA	0	11	16	NA	NA	NA	NA	NA	167	19	0	0	23	59	3
CVVCCVCVCVCCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2	0	0
CVVCCVCVCVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	0	75	0	25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	0	0	0	3	0	1
CVVCCVCVCVCVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	0
CVVCCVCVV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	38	0	0	0	11	0	0
CVVCCVCVVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	0	0	NA	NA	NA	NA
CVVCCVCVVV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	0	0	NA	NA	NA	NA
CVVCCVV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	316	0	0	0	45	0	0
CVVCCVVCCV	NA	NA	NA	NA	NA	NA	NA	100	0	NA	NA	NA	100	0	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	28	0	NA	NA	NA	1	0	0	0	10	0	0
CVVCCVVCV	NA	NA	NA	NA	0	0	100	NA	NA	NA	NA	NA	100	0	0	0	58.6206896551724	41.3793103448276	0	NA	NA	NA	NA	0	0	60	NA	NA	NA	NA	NA	100	0	0	0	51	36	0
CVVCCVVCVCV	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	100	0	0	0	0	100	0	NA	NA	NA	NA	0	7	0	NA	NA	NA	NA	NA	10	0	0	0	0	3	0
CVVCCVVV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	0
CVVCV	100	100	0	100	0	100	0	100	0	100	100	NA	99.9269005847953	0.0730994152046784	0	0	95.4022988505747	4.59770114942529	0	1	265	0	264	0	1248	0	2	0	366	128	NA	2734	2	0	0	1494	72	0
CVVCVCCV	NA	NA	NA	NA	0	98.6666666666667	1.33333333333333	NA	NA	NA	NA	NA	97.9899497487437	2.01005025125628	0	0	69.1056910569106	30.8943089430894	0	NA	NA	NA	NA	0	74	1	NA	NA	NA	NA	NA	195	4	0	0	85	38	0
CVVCVCCVCCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	4	0	0
CVVCVCCVCCVCV	NA	NA	NA	NA	0	0	100	NA	NA	NA	NA	NA	NA	NA	NA	0	0	100	0	NA	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	0	0	3	0
CVVCVCCVCV	NA	NA	NA	NA	0	0	100	NA	NA	NA	NA	NA	22.5	77.5	0	0	77.6119402985075	22.3880597014925	0	NA	NA	NA	NA	0	0	5	NA	NA	NA	NA	NA	9	31	0	0	52	15	0
CVVCVCCVCVCCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	4	0	0
CVVCVCCVCVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	0	75	25	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	0	0	3	1	0
CVVCVCCVCVV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	0
CVVCVCCVV	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	100	0	0	0	100	0	0	NA	NA	NA	NA	0	29	0	NA	NA	NA	NA	NA	50	0	0	0	1	0	0
CVVCVCCVVCCV	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	6	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CVVCVCCVVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	1
CVVCVCV	NA	NA	NA	NA	0	34.9206349206349	65.0793650793651	NA	NA	NA	NA	NA	59.1054313099042	40.8945686900958	0	0	76.2903225806452	23.7096774193548	0	NA	NA	NA	NA	0	66	123	NA	NA	NA	NA	NA	185	128	0	0	473	147	0
CVVCVCVCCV	NA	100	0	NA	0	0	100	NA	NA	NA	NA	NA	100	0	0	0	100	0	0	NA	17	0	NA	0	0	1	NA	NA	NA	NA	NA	57	0	0	0	32	0	0
CVVCVCVCCVCV	NA	NA	NA	NA	0	0	100	NA	NA	NA	NA	NA	NA	NA	NA	0	0	100	0	NA	NA	NA	NA	0	0	6	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	0
CVVCVCVCV	100	NA	NA	NA	0	8.33333333333333	91.6666666666667	NA	NA	NA	NA	NA	100	0	0	0	32.8947368421053	61.8421052631579	5.26315789473684	1	NA	NA	NA	0	3	33	NA	NA	NA	NA	NA	50	0	0	0	25	47	4
CVVCVCVCVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	2	0
CVVCVCVV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	80	20	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	0	0	4	1	0	0
CVVCVCVVCCVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	NA	NA	NA	NA
CVVCVCVVCV	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	18	0	NA	NA	NA	NA	NA	6	0	0	NA	NA	NA	NA
CVVCVV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	118	0	0	0	1	0	0
CVVCVVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19	0	0	0	34	0	0
CVVCVVCVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	6	0
CVVCVVV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	0	0	NA	NA	NA	NA
CVVV	NA	NA	NA	NA	0	100	0	100	0	100	NA	NA	100	0	0	0	100	0	0	NA	NA	NA	NA	0	951	0	167	0	3	NA	NA	196	0	0	0	398	0	0
CVVVCCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	0
CVVVCV	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	100	0	0	0	100	0	0	NA	NA	NA	NA	0	21	0	NA	NA	NA	NA	NA	24	0	0	0	2	0	0
CVVVCVCCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	0	NA	NA	NA	NA
CVVVCVCV	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	NA	NA	NA	NA	NA	9	0	0	NA	NA	NA	NA
CVVVV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	94	0	0	0	4	0	0
