word,model_position,model_label,confidence,phon_position,phon_label,agreement
ciao,0,ultima sillaba,0.3565685522270192,1.0,penultima sillaba,False
sono,0,ultima sillaba,0.3163098034706303,1.0,penultima sillaba,False
felice,1,penultima sillaba,0.3224461911006469,1.0,penultima sillaba,True
cane,1,penultima sillaba,0.3269476108507953,1.0,penultima sillaba,True
gatto,0,ultima sillaba,0.39102409149427003,1.0,penultima sillaba,False
perchè,0,ultima sillaba,0.34538291993056397,,non disponibile,
si,0,ultima sillaba,0.3998853083590813,0.0,ultima sillaba,True
ok,0,ultima sillaba,0.49887582396570473,0.0,ultima sillaba,True
va,0,ultima sillaba,0.42363305372760196,0.0,ultima sillaba,True
bene,3,preantepenultima sillaba,0.3537581690263562,0.0,ultima sillaba,False
bottiglia,0,ultima sillaba,0.30722560218546546,1.0,penultima sillaba,False
musica,2,antepenultima sillaba,0.3353823686483826,2.0,antepenultima sillaba,True
accento,1,penultima sillaba,0.3372530624049703,1.0,penultima sillaba,True
