CV-structure	S4_%ULT_Ty	S4_%PULT_Ty	S4_%APULT_Ty	S4_%PAPULT_Ty	S4_nULT_Ty	S4_nPULT_Ty	S4_nAPULT_Ty	S4_nPAPULT_Ty
CCCVCCCVCCVCV	0	0	100	0	0	0	1	0
CCCVCCCVCVCCV	0	100	0	0	0	1	0	0
CCCVCCCVVCVCCV	0	100	0	0	0	1	0	0
CCCVCCCVVCVCV	0	66.66666667	0	33.33333333	0	2	0	1
CCCVCCCVVCVV	0	100	0	0	0	2	0	0
CCCVCCVCCCVVCV	0	0	100	0	0	0	2	0
CCCVCCVCCV	0	100	0	0	0	1	0	0
CCCVCCVCCVCCV	0	50	50	0	0	1	1	0
CCCVCCVCCVCV	0	31.25	68.75	0	0	10	22	0
CCCVCCVCCVVCV	0	100	0	0	0	1	0	0
CCCVCCVCVCCCV	0	100	0	0	0	1	0	0
CCCVCCVCVCCCVV	0	100	0	0	0	1	0	0
CCCVCCVCVCCV	0	100	0	0	0	17	0	0
CCCVCCVCVCCVV	0	100	0	0	0	1	0	0
CCCVCCVCVCV	0	73.68421053	24.56140351	1.754385965	0	42	14	1
CCCVCCVCVCVV	0	100	0	0	0	1	0	0
CCCVCCVCVV	0	100	0	0	0	3	0	0
CCCVCCVCVVCV	0	100	0	0	0	1	0	0
CCCVCCVVCCVCV	0	0	100	0	0	0	3	0
CCCVCCVVCVCCV	0	100	0	0	0	1	0	0
CCCVCCVVCVCV	0	36.36363636	63.63636364	0	0	4	7	0
CCCVCVCCCVVCCV	0	100	0	0	0	1	0	0
CCCVCVCCCVVCV	0	66.66666667	0	33.33333333	0	2	0	1
CCCVCVCCVCCCV	0	0	100	0	0	0	1	0
CCCVCVCCVCCV	0	81.81818182	18.18181818	0	0	9	2	0
CCCVCVCCVCV	0	64.86486486	35.13513514	0	0	24	13	0
CCCVCVCCVVCV	0	83.33333333	16.66666667	0	0	5	1	0
CCCVCVCVCCCV	0	100	0	0	0	2	0	0
CCCVCVCVCCV	0	91.66666667	8.333333333	0	0	33	3	0
CCCVCVCVCCVV	0	100	0	0	0	1	0	0
CCCVCVCVCV	0	74.35897436	25.64102564	0	0	58	20	0
CCCVCVCVV	0	100	0	0	0	7	0	0
CCCVCVCVVCCV	0	100	0	0	0	2	0	0
CCCVCVCVVCV	0	66.66666667	33.33333333	0	0	2	1	0
CCCVCVCVVVCV	0	100	0	0	0	1	0	0
CCCVCVVCCVCCV	0	100	0	0	0	1	0	0
CCCVCVVCV	0	100	0	0	0	1	0	0
CCCVCVVCVCCV	0	100	0	0	0	3	0	0
CCCVCVVCVCV	0	84.61538462	15.38461538	0	0	11	2	0
CCCVCVVCVCVV	0	100	0	0	0	1	0	0
CCCVVCCVCCVCV	0	50	50	0	0	1	1	0
CCCVVCCVCCVVCCV	0	100	0	0	0	1	0	0
CCCVVCCVCCVVCV	0	100	0	0	0	2	0	0
CCCVVCCVCVCCV	0	100	0	0	0	1	0	0
CCCVVCCVCVCV	0	0	100	0	0	0	1	0
CCCVVCCVVCCVCV	0	0	100	0	0	0	1	0
CCCVVCCVVCVCCV	0	100	0	0	0	2	0	0
CCCVVCCVVCVCV	0	50	50	0	0	2	2	0
CCCVVCVCCCVCV	0	0	0	100	0	0	0	1
CCCVVCVCCVCCV	0	100	0	0	0	1	0	0
CCCVVCVCCVCV	0	50	50	0	0	2	2	0
CCCVVCVCV	0	100	0	0	0	6	0	0
CCCVVCVCVCCV	0	100	0	0	0	4	0	0
CCCVVCVCVCV	0	28.57142857	71.42857143	0	0	2	5	0
CCCVVVCVCV	0	0	100	0	0	0	2	0
CCVCCCVCCVCV	0	72.72727273	27.27272727	0	0	8	3	0
CCVCCCVCCVV	0	100	0	0	0	1	0	0
CCVCCCVCCVVCV	0	100	0	0	0	2	0	0
CCVCCCVCVCCV	0	77.77777778	22.22222222	0	0	14	4	0
CCVCCCVCVCV	0	50	50	0	0	12	12	0
CCVCCCVCVCVV	0	100	0	0	0	1	0	0
CCVCCCVCVV	0	100	0	0	0	1	0	0
CCVCCCVCVVCV	0	100	0	0	0	12	0	0
CCVCCCVVCVCCV	0	100	0	0	0	1	0	0
CCVCCCVVCVCV	0	33.33333333	66.66666667	0	0	1	2	0
CCVCCVCCCVCCV	0	100	0	0	0	2	0	0
CCVCCVCCCVCV	0	100	0	0	0	1	0	0
CCVCCVCCCVVCV	0	50	50	0	0	2	2	0
CCVCCVCCVCCCV	0	100	0	0	0	1	0	0
CCVCCVCCVCCV	0	77.77777778	22.22222222	0	0	77	22	0
CCVCCVCCVCV	0	53.71024735	44.16961131	2.120141343	0	152	125	6
CCVCCVCCVCVV	0	100	0	0	0	5	0	0
CCVCCVCCVV	0	100	0	0	0	3	0	0
CCVCCVCCVVCCV	0	100	0	0	0	10	0	0
CCVCCVCCVVCV	0	92.20779221	7.792207792	0	0	71	6	0
CCVCCVCCVVV	0	100	0	0	0	1	0	0
CCVCCVCVCCCV	0	100	0	0	0	5	0	0
CCVCCVCVCCV	0	96.77419355	3.225806452	0	0	240	8	0
CCVCCVCVCCVV	0	100	0	0	0	5	0	0
CCVCCVCVCV	0	67.45454545	30.72727273	1.818181818	0	371	169	10
CCVCCVCVCVV	0	100	0	0	0	11	0	0
