CV-structure	S4_%ULT_Ty	S4_%PULT_Ty	S4_%APULT_Ty	S4_%PAPULT_Ty	S4_nULT_Ty	S4_nPULT_Ty	S4_nAPULT_Ty	S4_nPAPULT_Ty
CCCVCCCVVCVCV	0	66.66666667	0	33.33333333	0	2	0	1
CCCVCCCVVCVV	0	100	0	0	0	2	0	0
CCCVCCVCCCVVCV	0	0	100	0	0	0	1	0
CCCVCCVCCV	0	66.66666667	33.33333333	0	0	2	1	0
CCCVCCVCCVCCV	0	50	50	0	0	1	1	0
CCCVCCVCCVCV	0	20	80	0	0	1	4	0
CCCVCCVCCVV	0	100	0	0	0	1	0	0
CCCVCCVCV	0	50	50	0	0	1	1	0
CCCVCCVCVCCV	0	100	0	0	0	2	0	0
CCCVCCVCVCV	0	22.22222222	77.77777778	0	0	2	7	0
CCCVCCVVCVCV	0	0	100	0	0	0	2	0
CCCVCVCCV	0	100	0	0	0	8	0	0
CCCVCVCCVCCV	0	100	0	0	0	1	0	0
CCCVCVCCVCV	0	62.5	37.5	0	0	5	3	0
CCCVCVCCVV	0	100	0	0	0	1	0	0
CCCVCVCCVVCV	0	100	0	0	0	1	0	0
CCCVCVCV	0	50	50	0	0	3	3	0
CCCVCVCVCCV	0	100	0	0	0	3	0	0
CCCVCVCVCV	0	58.33333333	41.66666667	0	0	7	5	0
CCCVCVCVV	0	100	0	0	0	4	0	0
CCCVCVCVVCCV	0	100	0	0	0	2	0	0
CCCVCVCVVCV	0	100	0	0	0	1	0	0
CCCVVCCVCCV	0	100	0	0	0	2	0	0
CCCVVCCVCCVCV	0	0	100	0	0	0	1	0
CCCVVCCVCV	0	100	0	0	0	1	0	0
CCCVVCCVCVCV	0	100	0	0	0	1	0	0
CCCVVCCVVCVCV	0	0	100	0	0	0	1	0
CCCVVCVCCVCV	0	0	100	0	0	0	1	0
CCCVVCVCVCV	0	0	100	0	0	0	1	0
CCCVVVCCV	0	100	0	0	0	1	0	0
CCVCCCVCCV	0	100	0	0	0	1	0	0
CCVCCCVCCVCV	0	0	100	0	0	0	2	0
CCVCCCVCVCCV	0	100	0	0	0	1	0	0
CCVCCCVCVCV	0	66.66666667	33.33333333	0	0	2	1	0
CCVCCCVVCVCV	0	0	100	0	0	0	1	0
CCVCCV	0	100	0	0	0	1	0	0
