3lett	%ULT_Tk	%PULT_Tk	%APULT_Tk	%PAPULT_Tk	nULT_Tk	nPULT_Tk	nAPULT_Tk	nPAPULT_Tk
aah	0	100	0	0	0	31	0	0
abb	6.574394464	83.73702422	9.688581315	0	19	242	28	0
abe	0	100	0	0	0	22	0	0
abi	2.150537634	52.41935484	41.93548387	3.494623656	8	195	156	13
abo	33.33333333	50	16.66666667	0	2	3	1	0
aca	0	100	0	0	0	7	0	0
acc	5.268490375	81.56028369	12.25937183	0.911854103	52	805	121	9
ace	0	100	0	0	0	4	0	0
aci	0	0	100	0	0	0	8	0
acq	0.707213579	96.32248939	2.97029703	0	5	681	21	0
acr	0	100	0	0	0	5	0	0
acu	0	100	0	0	0	24	0	0
ada	1.612903226	94.35483871	4.032258065	0	2	117	5	0
add	6.643356643	92.65734266	0.699300699	0	19	265	2	0
ade	0	100	0	0	0	291	0	0
adi	0	100	0	0	0	3	0	0
ado	5.357142857	73.21428571	19.64285714	1.785714286	3	41	11	1
adr	0	0	100	0	0	0	9	0
adu	0	100	0	0	0	24	0	0
aer	0	38.98305085	61.01694915	0	0	46	72	0
afa	0	100	0	0	0	6	0	0
aff	10.06423983	83.5117773	6.209850107	0.214132762	47	390	29	1
afr	0	100	0	0	0	14	0	0
age	0	100	0	0	0	47	0	0
agg	4.516129032	81.29032258	14.19354839	0	7	126	22	0
agi	6.097560976	64.63414634	24.3902439	4.87804878	5	53	20	4
agl	0	100	0	0	0	7	0	0
agn	0	100	0	0	0	7	0	0
ago	0	100	0	0	0	45	0	0
agr	0	68.57142857	31.42857143	0	0	24	11	0
agu	0	100	0	0	0	9	0	0
ahh	0	100	0	0	0	10	0	0
ahi	21.64948454	78.35051546	0	0	21	76	0	0
aia	0	100	0	0	0	7	0	0
aiu	5.18018018	86.71171171	8.108108108	0	23	385	36	0
ala	0	100	0	0	0	96	0	0
alb	0	23.36683417	76.63316583	0	0	93	305	0
alc	6.036745407	93.96325459	0	0	23	358	0	0
alf	0	100	0	0	0	13	0	0
alg	0	100	0	0	0	24	0	0
ali	2.941176471	91.17647059	5.882352941	0	1	31	2	0
all	1.553829079	96.1154273	2.330743618	0	14	866	21	0
alm	0	100	0	0	0	118	0	0
alp	0	100	0	0	0	12	0	0
alq	0	100	0	0	0	14	0	0
alt	0	99.31102362	0.688976378	0	0	2018	14	0
alu	0	100	0	0	0	30	0	0
alv	0	100	0	0	0	6	0	0
alz	26.95035461	57.44680851	15.60283688	0	38	81	22	0
ama	0.8	84	15.2	0	1	105	19	0
amb	0	100	0	0	0	191	0	0
ame	0	100	0	0	0	47	0	0
ami	0	99.35897436	0.641025641	0	0	620	4	0
amm	4	76.66666667	19.33333333	0	6	115	29	0
amo	6.493506494	93.50649351	0	0	5	72	0	0
amp	0	100	0	0	0	31	0	0
ana	0	12.5	87.5	0	0	7	49	0
anc	1.007194245	98.65707434	0.335731415	0	21	2057	7	0
and	12.21995927	77.93618466	8.8934148	0.950441276	180	1148	131	14
ane	0	86.48648649	13.51351351	0	0	32	5	0
anf	0	63.63636364	36.36363636	0	0	7	4	0
ang	0	15.19607843	84.80392157	0	0	31	173	0
ani	0.17699115	89.55752212	10.26548673	0	1	506	58	0
ann	1.046511628	98.02325581	0.930232558	0	9	843	8	0
ans	0	100	0	0	0	27	0	0
ant	5.054151625	82.67148014	12.27436823	0	14	229	34	0
anz	11.20689655	88.79310345	0	0	13	103	0	0
aoo	0	100	0	0	0	13	0	0
ape	0	100	0	0	0	167	0	0
apo	0	0	100	0	0	0	11	0
app	2.014218009	85.42654028	12.55924171	0	17	721	106	0
apr	13.50364964	78.46715328	8.02919708	0	37	215	22	0
aqu	0	36.36363636	63.63636364	0	0	16	28	0
ara	0	72.22222222	27.77777778	0	0	52	20	0
arb	0	43.47826087	56.52173913	0	0	10	13	0
arc	0	84.05797101	15.94202899	0	0	58	11	0
ard	0	73.33333333	26.66666667	0	0	11	4	0
are	0	0	100	0	0	0	27	0
arg	0	91.26213592	8.737864078	0	0	94	9	0
ari	0	93.33333333	6.666666667	0	0	266	19	0
arm	0.775193798	98.4496124	0.775193798	0	1	127	1	0
arn	0	100	0	0	0	13	0	0
arr	8.323424495	81.45065398	9.988109394	0.237812128	70	685	84	2
art	0	65.18987342	34.81012658	0	0	103	55	0
asc	3.076923077	86.66666667	10.25641026	0	6	169	20	0
asf	0	100	0	0	0	9	0	0
asi	0	31.57894737	68.42105263	0	0	12	26	0
asp	1.994301994	88.6039886	9.401709402	0	7	311	33	0
ass	2.222222222	87.77777778	10	0	10	395	45	0
ast	0	79.52755906	20.47244094	0	0	101	26	0
atl	0	73.68421053	26.31578947	0	0	14	5	0
atm	0	78.57142857	21.42857143	0	0	33	9	0
ato	0	0	100	0	0	0	22	0
atr	0	100	0	0	0	15	0	0
att	5.947580645	83.46774194	10.58467742	0	59	828	105	0
aug	6	78	16	0	3	39	8	0
aul	0	100	0	0	0	29	0	0
aum	4.651162791	83.72093023	11.62790698	0	2	36	5	0
aur	0	100	0	0	0	6	0	0
aus	0	100	0	0	0	19	0	0
aut	4.261363636	63.92045455	31.81818182	0	15	225	112	0
ava	1.129943503	92.65536723	6.214689266	0	2	164	11	0
ave	6.944102438	86.4565378	6.599359764	0	282	3511	268	0
avo	0	100	0	0	0	12	0	0
avv	8.550185874	84.20074349	7.249070632	0	46	453	39	0
azi	0	100	0	0	0	72	0	0
azz	0	98.21428571	1.785714286	0	0	110	2	0
bab	0	100	0	0	0	126	0	0
bac	5.747126437	89.65517241	4.597701149	0	5	78	4	0
bad	2.777777778	88.88888889	8.333333333	0	1	32	3	0
baf	0	100	0	0	0	18	0	0
bag	0.99009901	98.01980198	0.99009901	0	1	99	1	0
bai	0	100	0	0	0	9	0	0
bal	6.435643564	89.6039604	3.96039604	0	13	181	8	0
bam	0	95.93596059	4.064039409	0	0	779	33	0
ban	0	99.6124031	0.387596899	0	0	257	1	0
bar	0.358422939	86.73835125	12.90322581	0	1	242	36	0
bas	3.434343434	92.32323232	2.828282828	1.414141414	17	457	14	7
bat	3.045685279	72.08121827	24.87309645	0	6	142	49	0
bau	0	100	0	0	0	63	0	0
bea	0	100	0	0	0	16	0	0
bec	1.739130435	95.65217391	2.608695652	0	2	110	3	0
bef	0	100	0	0	0	13	0	0
bel	0	85.56067588	14.43932412	0	0	557	94	0
ben	3.022670025	90.80604534	6.171284635	0	24	721	49	0
ber	0.714285714	91.42857143	7.857142857	0	1	128	11	0
bes	0	100	0	0	0	69	0	0
bet	0	100	0	0	0	11	0	0
bev	0	100	0	0	0	43	0	0
bia	0	99.24528302	0.754716981	0	0	263	2	0
bib	0	81.81818182	18.18181818	0	0	18	4	0
bic	3.797468354	96.20253165	0	0	3	76	0	0
bid	0	100	0	0	0	13	0	0
big	4.285714286	95.71428571	0	0	3	67	0	0
bil	0	100	0	0	0	21	0	0
bim	0	100	0	0	0	72	0	0
bin	0	100	0	0	0	15	0	0
bio	0	94.44444444	5.555555556	0	0	17	1	0
bir	0	100	0	0	0	28	0	0
bis	4.931506849	94.24657534	0.821917808	0	18	344	3	0
biz	0	100	0	0	0	9	0	0
blo	4	92	4	0	1	23	1	0
boc	0	100	0	0	0	165	0	0
bol	2.702702703	97.2972973	0	0	1	36	0	0
bom	0	100	0	0	0	76	0	0
bon	100	0	0	0	18	0	0	0
bor	4.87804878	95.12195122	0	0	6	117	0	0
bos	0	100	0	0	0	196	0	0
bot	0	100	0	0	0	126	0	0
box	0	100	0	0	0	5	0	0
boy	0	100	0	0	0	5	0	0
bra	0.278551532	95.82172702	3.899721448	0	1	344	14	0
